stack,scenario,vx_cmd,vel_rmse,vel_mean,att_rmse,cot,sat_rate,fell,max_speed,failure_mode
MIT (convexMPC + leg ctrl),S1,0.1,0.11550151414955682,0.1015157945219936,4.309413401516544,5.940738954168631,0.014533333333333332,0,,
MIT (convexMPC + leg ctrl),S1,0.2,0.12625687264684962,0.18174354564680542,4.697124357508676,3.1993083190790594,0.0328,0,,
MIT (convexMPC + leg ctrl),S1,0.3,0.19350228114332685,0.44082842137410105,9.868320439611248,1.4905566590315156,0.03571428571428571,1,,
MIT (convexMPC + leg ctrl),S2,0.0,nan,nan,nan,nan,nan,0,0.0,roll-over
ETH (SLQ-MPC + QP-WBC),S1,0.1,0.03414141697271519,0.1036697328568287,0.8342605327108105,1.566250478597115,0.0,0,,
ETH (SLQ-MPC + QP-WBC),S1,0.2,0.028923060724245126,0.2021459429937305,0.5236341194428633,0.694651877617138,0.0,0,,
ETH (SLQ-MPC + QP-WBC),S1,0.3,0.034407380731658575,0.2979190691833162,0.5016493286905708,0.5031167253293528,0.0,0,,
ETH (SLQ-MPC + QP-WBC),S1,0.4,0.04193408626462637,0.40007013923935364,0.589008598737134,0.456419751239199,0.0,0,,
ETH (SLQ-MPC + QP-WBC),S1,0.5,0.0450536496873516,0.5005713807902512,0.5931060157391667,0.43073466627612284,0.0,0,,
ETH (SLQ-MPC + QP-WBC),S2,0.6,nan,nan,nan,nan,nan,0,0.6,height collapse
X1 (convexMPC + QP-WBC),S1,0.1,0.06493517650427205,0.1027804307137922,2.2161041287541954,2.859096654320086,0.0,0,,
X1 (convexMPC + QP-WBC),S1,0.2,0.07184126106757698,0.19126137876364724,4.457371626489827,0.9939190027090437,0.0012666666666666666,0,,
X1 (convexMPC + QP-WBC),S1,0.3,0.12502079098107377,0.1917906952341642,6.92664849073807,1.1618704135282767,0.014866666666666665,0,,
X1 (convexMPC + QP-WBC),S1,0.4,0.19285775879350664,0.2135042366414523,7.642217568879891,1.1131285878334407,0.009466666666666665,0,,
X1 (convexMPC + QP-WBC),S1,0.5,0.2427450813454241,0.27610139806904577,7.119836834572378,1.1276670236349957,0.030466666666666663,0,,
X1 (convexMPC + QP-WBC),S2,0.2,nan,nan,nan,nan,nan,0,0.2,roll-over
X2 (SLQ-MPC + leg ctrl),S1,0.1,0.036538773167299685,0.1034845531997883,1.7410304764225346,2.516887579475083,0.0,0,,
X2 (SLQ-MPC + leg ctrl),S1,0.2,0.08945707070967321,0.18687888934324726,3.3481273112898258,1.7224385780851603,0.006200000000000001,0,,
X2 (SLQ-MPC + leg ctrl),S1,0.3,0.09508644179528523,0.2349751437699489,15.093901526607633,2.896574506730799,0.1410736579275905,1,,
X2 (SLQ-MPC + leg ctrl),S2,0.1,nan,nan,nan,nan,nan,0,0.1,height collapse
