stack,scenario,vx_cmd,vel_rmse,vel_mean,att_rmse,cot,sat_rate,fell,max_speed,failure_mode
MIT (convexMPC + leg ctrl),S1,0.1,0.08909283586504368,0.10122119575572766,2.7476303135808102,4.8019241888337705,0.0146,0,,
MIT (convexMPC + leg ctrl),S1,0.2,0.1463722199368296,0.08011582313779958,13.379766249639843,4.814232049122526,0.12108262108262106,1,,
MIT (convexMPC + leg ctrl),S2,0.0,nan,nan,nan,nan,nan,0,0.0,height collapse
ETH (SLQ-MPC + QP-WBC),S1,0.1,0.06580234664479422,0.07280086850458026,2.4114834548396686,2.767666544013546,0.005533333333333333,0,,
ETH (SLQ-MPC + QP-WBC),S1,0.2,0.08584323134524705,0.16698863949934153,12.880044350931787,2.2655007458776897,0.021866666666666663,0,,
ETH (SLQ-MPC + QP-WBC),S1,0.3,0.23477423234300382,0.07586522091431812,3.49299905430004,2.0453838231446144,0.0017333333333333333,0,,
ETH (SLQ-MPC + QP-WBC),S1,0.4,0.32626919938957216,0.0777292412240774,4.350223234959332,1.8414846790030217,0.005133333333333333,0,,
ETH (SLQ-MPC + QP-WBC),S1,0.5,0.409460503190098,0.09417106276031688,5.90354837463618,1.696477385508249,0.0025999999999999994,0,,
ETH (SLQ-MPC + QP-WBC),S2,0.65,nan,nan,nan,nan,nan,0,0.65,roll-over
X1 (convexMPC + QP-WBC),S1,0.1,0.0643604889137875,0.10398644564699705,3.999999527338844,2.3253245547802956,0.0,0,,
X1 (convexMPC + QP-WBC),S1,0.2,0.10096658438129441,0.14755503282528826,15.038018862685133,3.6378135270928187,0.05433333333333333,1,,
X1 (convexMPC + QP-WBC),S2,0.15,nan,nan,nan,nan,nan,0,0.15,roll-over
X2 (SLQ-MPC + leg ctrl),S1,0.1,0.07534571836341783,0.1013671712824161,5.4418102783765185,5.118290088953092,0.017,0,,
X2 (SLQ-MPC + leg ctrl),S1,0.2,0.10142427233870797,0.13037493194070549,10.611061048749376,14.719907797796479,0.045112781954887216,1,,
X2 (SLQ-MPC + leg ctrl),S2,0.4,nan,nan,nan,nan,nan,0,0.4,height collapse
