stack,scenario,direction,push_N,success
MIT (convexMPC + leg ctrl),S5,+x,10,1
MIT (convexMPC + leg ctrl),S5,+x,20,1
MIT (convexMPC + leg ctrl),S5,+x,30,0
MIT (convexMPC + leg ctrl),S5,+x,40,0
MIT (convexMPC + leg ctrl),S5,+x,50,0
MIT (convexMPC + leg ctrl),S5,-x,10,0
MIT (convexMPC + leg ctrl),S5,-x,20,1
MIT (convexMPC + leg ctrl),S5,-x,30,1
MIT (convexMPC + leg ctrl),S5,-x,40,0
MIT (convexMPC + leg ctrl),S5,-x,50,0
MIT (convexMPC + leg ctrl),S5,+y,10,0
MIT (convexMPC + leg ctrl),S5,+y,20,0
MIT (convexMPC + leg ctrl),S5,+y,30,1
MIT (convexMPC + leg ctrl),S5,+y,40,0
MIT (convexMPC + leg ctrl),S5,+y,50,0
MIT (convexMPC + leg ctrl),S5,-y,10,0
MIT (convexMPC + leg ctrl),S5,-y,20,0
MIT (convexMPC + leg ctrl),S5,-y,30,0
MIT (convexMPC + leg ctrl),S5,-y,40,0
MIT (convexMPC + leg ctrl),S5,-y,50,0
ETH (SLQ-MPC + QP-WBC),S5,+x,10,1
ETH (SLQ-MPC + QP-WBC),S5,+x,20,1
ETH (SLQ-MPC + QP-WBC),S5,+x,30,1
ETH (SLQ-MPC + QP-WBC),S5,+x,40,1
ETH (SLQ-MPC + QP-WBC),S5,+x,50,1
ETH (SLQ-MPC + QP-WBC),S5,-x,10,1
ETH (SLQ-MPC + QP-WBC),S5,-x,20,0
ETH (SLQ-MPC + QP-WBC),S5,-x,30,0
ETH (SLQ-MPC + QP-WBC),S5,-x,40,1
ETH (SLQ-MPC + QP-WBC),S5,-x,50,1
ETH (SLQ-MPC + QP-WBC),S5,+y,10,1
ETH (SLQ-MPC + QP-WBC),S5,+y,20,1
ETH (SLQ-MPC + QP-WBC),S5,+y,30,0
ETH (SLQ-MPC + QP-WBC),S5,+y,40,0
ETH (SLQ-MPC + QP-WBC),S5,+y,50,0
ETH (SLQ-MPC + QP-WBC),S5,-y,10,1
ETH (SLQ-MPC + QP-WBC),S5,-y,20,1
ETH (SLQ-MPC + QP-WBC),S5,-y,30,1
ETH (SLQ-MPC + QP-WBC),S5,-y,40,1
ETH (SLQ-MPC + QP-WBC),S5,-y,50,1
X1 (convexMPC + QP-WBC),S5,+x,10,1
X1 (convexMPC + QP-WBC),S5,+x,20,0
X1 (convexMPC + QP-WBC),S5,+x,30,1
X1 (convexMPC + QP-WBC),S5,+x,40,1
X1 (convexMPC + QP-WBC),S5,+x,50,1
X1 (convexMPC + QP-WBC),S5,-x,10,1
X1 (convexMPC + QP-WBC),S5,-x,20,1
X1 (convexMPC + QP-WBC),S5,-x,30,1
X1 (convexMPC + QP-WBC),S5,-x,40,1
X1 (convexMPC + QP-WBC),S5,-x,50,1
X1 (convexMPC + QP-WBC),S5,+y,10,1
X1 (convexMPC + QP-WBC),S5,+y,20,1
X1 (convexMPC + QP-WBC),S5,+y,30,0
X1 (convexMPC + QP-WBC),S5,+y,40,1
X1 (convexMPC + QP-WBC),S5,+y,50,0
X1 (convexMPC + QP-WBC),S5,-y,10,1
X1 (convexMPC + QP-WBC),S5,-y,20,1
X1 (convexMPC + QP-WBC),S5,-y,30,1
X1 (convexMPC + QP-WBC),S5,-y,40,1
X1 (convexMPC + QP-WBC),S5,-y,50,1
X2 (SLQ-MPC + leg ctrl),S5,+x,10,1
X2 (SLQ-MPC + leg ctrl),S5,+x,20,1
X2 (SLQ-MPC + leg ctrl),S5,+x,30,0
X2 (SLQ-MPC + leg ctrl),S5,+x,40,1
X2 (SLQ-MPC + leg ctrl),S5,+x,50,1
X2 (SLQ-MPC + leg ctrl),S5,-x,10,1
X2 (SLQ-MPC + leg ctrl),S5,-x,20,1
X2 (SLQ-MPC + leg ctrl),S5,-x,30,1
X2 (SLQ-MPC + leg ctrl),S5,-x,40,0
X2 (SLQ-MPC + leg ctrl),S5,-x,50,0
X2 (SLQ-MPC + leg ctrl),S5,+y,10,1
X2 (SLQ-MPC + leg ctrl),S5,+y,20,1
X2 (SLQ-MPC + leg ctrl),S5,+y,30,1
X2 (SLQ-MPC + leg ctrl),S5,+y,40,0
X2 (SLQ-MPC + leg ctrl),S5,+y,50,1
X2 (SLQ-MPC + leg ctrl),S5,-y,10,0
X2 (SLQ-MPC + leg ctrl),S5,-y,20,1
X2 (SLQ-MPC + leg ctrl),S5,-y,30,1
X2 (SLQ-MPC + leg ctrl),S5,-y,40,1
X2 (SLQ-MPC + leg ctrl),S5,-y,50,0
